baobeirequesttime,method,responseStatus,time,userId,accessTerminal
30/Dec/2019:20:01:52,/goods/category/tab/list.htm,200,845,144386,3
30/Dec/2019:20:01:52,/goods/category/tab/list.htm,200,845,144386,3
30/Dec/2019:20:01:50,/rest,200,231,139954,1
30/Dec/2019:20:01:50,/rest,200,231,139954,3
30/Dec/2019:20:01:50,/rest,200,231,139954,3
30/Dec/2019:20:01:50,/rest,200,231,139954,3
30/Dec/2019:20:01:50,/rest,200,231,139954,3
30/Dec/2019:20:01:50,/rest,200,231,139954,3
30/Dec/2019:20:01:50,/rest,200,231,139954,3
30/Dec/2019:20:01:50,/rest,200,231,139954,3
30/Dec/2019:20:01:50,/rest,200,231,139954,3
30/Dec/2019:20:01:50,/rest,200,231,139954,3
30/Dec/2019:20:01:50,/rest,200,231,139954,3
30/Dec/2019:20:01:50,/rest,200,231,139954,3
30/Dec/2019:20:01:50,/rest,200,231,139954,3
30/Dec/2019:20:01:50,/rest,200,231,139954,3
30/Dec/2019:20:01:50,/rest,200,231,139954,3
30/Dec/2019:20:01:50,/rest,200,231,139954,3
30/Dec/2019:20:01:50,/rest,200,231,139954,3
30/Dec/2019:20:01:50,/rest,200,231,139954,3
30/Dec/2019:20:01:50,/rest,200,231,139954,3
30/Dec/2019:20:01:50,/rest,200,231,139954,3
30/Dec/2019:20:01:50,/limitRedpacket/open.htm,200,235,139954,1
30/Dec/2019:20:01:50,/limitRedpacket/open.htm,200,235,139954,3
30/Dec/2019:20:01:50,/limitRedpacket/open.htm,200,235,139954,3
30/Dec/2019:20:01:50,/limitRedpacket/open.htm,200,235,139954,3
30/Dec/2019:20:01:50,/limitRedpacket/open.htm,200,235,139954,3
30/Dec/2019:20:01:50,/limitRedpacket/open.htm,200,235,139954,3
30/Dec/2019:20:01:50,/limitRedpacket/open.htm,200,235,139954,3
30/Dec/2019:20:01:50,/limitRedpacket/open.htm,200,235,139954,3
30/Dec/2019:20:01:50,/limitRedpacket/open.htm,200,235,139954,3
30/Dec/2019:20:01:50,/limitRedpacket/open.htm,200,235,139954,3
30/Dec/2019:20:01:50,/limitRedpacket/open.htm,200,235,139954,3
30/Dec/2019:20:01:50,/limitRedpacket/open.htm,200,235,139954,3
30/Dec/2019:20:01:50,/limitRedpacket/open.htm,200,235,139954,3
30/Dec/2019:20:01:50,/limitRedpacket/open.htm,200,235,139954,3
30/Dec/2019:20:01:50,/limitRedpacket/open.htm,200,235,139954,3
30/Dec/2019:20:01:50,/limitRedpacket/open.htm,200,235,139954,3
